UUID;Station_Number;EVA_Number;Name;Category;Federal_State;Price_Small;Price_Large;Longitude;Latitude;City;Zipcode;Street;Verbund;Aufgabentraeger_ShortName;Aufgabentraeger_Name;ProductLine;Segment;HasParking;HasWiFi;HasDBLounge
467c429a-c10a-4c6d-8355-63ec3198e74c;1;8000001;Aachen Hbf;2;Nordrhein-Westfalen;17,01 €;44,74 €;6.091499;50.7678;Aachen;52064;Bahnhofstr.  2a;go.R;go.R;Zweckverband go.Rheinland GmbH;Knotenbahnhof;Großstadtknoten;true;true;false
7533c318-91ac-4225-ba27-b723ff79c05b;7205;8070704;Aachen Schanz;5;Nordrhein-Westfalen;2,69 €;7,09 €;6.07384;50.769862;Aachen;52064;Vaalserstraße 15;go.R;go.R;Zweckverband go.Rheinland GmbH;Knotenbahnhof;Regionaler Knoten;false;false;false
41c50bbc-60e7-4684-b16b-49e19e2b460d;3;8000404;Aachen West;5;Nordrhein-Westfalen;2,69 €;7,09 €;6.070715;50.78036;Aachen;52072;Republikplatz 1;go.R;go.R;Zweckverband go.Rheinland GmbH;Knotenbahnhof;Regionaler Knoten;true;false;false
98cb761a-0b1f-4030-92dc-f2b2d7ab6ee7;2;8000406;Aachen-Rothe Erde;4;Nordrhein-Westfalen;2,69 €;6,76 €;6.116475;50.770202;Aachen;52066;Beverstr. 48;go.R;go.R;Zweckverband go.Rheinland GmbH;Knotenbahnhof;Regionaler Knoten;true;false;false
a885b551-79af-4427-925f-0e6b80529741;4;8000002;Aalen Hbf;3;Baden-Württemberg;5,29 €;13,61 €;10.096271;48.841013;Aalen;73430;Am Bahnhof 1;VM BW;NVBW;Nahverkehrsgesellschaft Baden-Württemberg mbH;Knotenbahnhof;Regionaler Knoten;true;true;false
743a1bf3-b002-4046-8357-fead70929270;5;8000410;Abensberg;6;Bayern;2,89 €;7,59 €;11.84662;48.819456;Abensberg;93326;Bahnhofstr. 27;BEG;BEG;Bayerische Eisenbahngesellschaft mbH;Zubringerbahnhof;ländlicher Zubringer;true;false;false
60a17133-0dc7-4d78-8be3-ad9b79bba1e3;6;8000412;Achern;4;Baden-Württemberg;3,92 €;10,18 €;8.065324;48.63399;Achern;77855;Eisenbahnstr. 40;VM BW;NVBW;Nahverkehrsgesellschaft Baden-Württemberg mbH;Knotenbahnhof;Regionaler Knoten;true;false;false
ff75d5b8-7f3e-4184-afdc-a4096f26e780;7;8000413;Achim;4;Niedersachsen;4,96 €;13,09 €;9.030447;53.01599;Achim;28832;Zum Achimer Bahnhof 1a;LNVG;LNVG;Landesnahverkehrsgesellschaft Niedersachsen mbH;Knotenbahnhof;Regionaler Knoten;true;false;false
5b33ed76-6bce-4e2d-b310-1311f2523da7;8;8000414;Achmer;6;Niedersachsen;4,23 €;10,34 €;7.94216;52.390479;Bramsche-Achmer;49565;Langestraße 7;LNVG;LNVG;Landesnahverkehrsgesellschaft Niedersachsen mbH;Zubringerbahnhof;ländlicher Zubringer;true;false;false
be8ccecc-1043-49b6-8bb8-1218cacab441;7225;8000416;Achterwehr;7;Schleswig-Holstein;2,21 €;5,91 €;9.964024;54.314913;Achterwehr;24239;Dorfstraße;NAH.SH;NAH.SH;Nahverkehrsverbund Schleswig-Holstein GmbH;Zubringerbahnhof;ländlicher Zubringer;false;false;false
